state,crop_type,production,planted_area,efficiency,poverty_absolute,poverty_hardcore,poverty_relative
Johor,fruits,772317.4,50217,15.379600533683814,4.6,0.1,15.9
Kedah,paddy,834901,213718,3.9065544315406284,9,0.3,11.9
Kelantan,paddy,272633,74017,3.683383547022981,13.2,0.8,12.2
Kuala Lumpur,flower,819724,8.4,97586.19047619047,1.4,0,12.7
Labuan,fruits,451.8,187.8,2.405750798722045,2.5,0,7
Melaka,fruits,28518.7,5631.5,5.06413921690491,4.2,0.1,13.2
Negeri Sembilan,fruits,68198.9,6107.7,11.166052687591073,4.4,0.1,13.3
Pahang,fruits,271797.9,27331.1,9.944638159459371,6.3,0.1,7.7
Perak,paddy,269790,74594,3.6167788293964662,7.5,0.2,13.5
Perlis,paddy,233781,60470,3.866065817760873,4,0.1,12.6
Pulau Pinang,paddy,122321,24210,5.052498967368856,2,0.1,15.3
Sabah,paddy,107565,37323,2.8820030544168476,19.7,1.2,14.5
Sarawak,paddy,147272,77943,1.889483340389772,10.8,0.4,16.2
Selangor,paddy,153492,35539,4.318973522046202,1.5,0,14.2
Terengganu,paddy,62712,18957,3.30811837316031,6.2,0.2,6.9
