state,indicator,value
Johor,poverty_absolute,4.6
Johor,production,772317.4
Kedah,poverty_absolute,9
Kedah,production,834901
Kelantan,poverty_absolute,13.2
Kelantan,production,272633
Kuala Lumpur,poverty_absolute,1.4
Kuala Lumpur,production,819724
Labuan,poverty_absolute,2.5
Labuan,production,451.8
Melaka,poverty_absolute,4.2
Melaka,production,28518.7
Negeri Sembilan,poverty_absolute,4.4
Negeri Sembilan,production,68198.9
Pahang,poverty_absolute,6.3
Pahang,production,271797.9
Perak,poverty_absolute,7.5
Perak,production,269790
Perlis,poverty_absolute,4
Perlis,production,233781
Pulau Pinang,poverty_absolute,2
Pulau Pinang,production,122321
Sabah,poverty_absolute,19.7
Sabah,production,107565
Sarawak,poverty_absolute,10.8
Sarawak,production,147272
Selangor,poverty_absolute,1.5
Selangor,production,153492
Terengganu,poverty_absolute,6.2
Terengganu,production,62712
